isbn,library_url,url_yn
074343059X,https://openlibrary.org/books/OL7949822M/Geisha_of_Gion,1
0007229577,no response found,0
1932664394,https://openlibrary.org/books/OL8810460M/Love_As_A_Foreign_Language_5_(Love_as_a_Foreign_Language),1
0521750849,https://openlibrary.org/books/OL7752552M/Jungle_Love,1
0373510055,https://openlibrary.org/books/OL7417283M/First_Impressions_(Language_of_Love_5),1
0802415318,https://openlibrary.org/books/OL7875671M/The_Five_Love_Languages_Faux_Leather_Bound_Journal_and_Paperback_Book_Set_(Amazon.com_Exclusive),1
1416524797,https://openlibrary.org/books/OL19556750M/Angels_Demons,1
849561877X,https://openlibrary.org/books/OL9153177M/Angeles_y_Demonios_Angels_and_Demons,1
0972859896,https://openlibrary.org/books/OL8579585M/Angeles_Demonios_Angels_Demons,1
0307277674,https://openlibrary.org/books/OL20292963M/The_Da_Vinci_Code,1
076792603X,https://openlibrary.org/books/OL8065046M/The_Da_Vinci_Code,1
2266144340,https://openlibrary.org/books/OL22155458M/Da_Vinci_Code,1
1416524800,https://openlibrary.org/books/OL19561918M/Deception_Point,1
0671027387,https://openlibrary.org/books/OL14443659M/Deception_Point,1
0552151769,https://openlibrary.org/books/OL24196154M/Deception_Point,1
0593055071,no response found,0
9953299072,https://openlibrary.org/books/OL23112794M/Ḥaqīqat_al-khadīʻah,1
1416524886,https://openlibrary.org/books/OL26742210M/Deception_Point,1
078601606X,https://openlibrary.org/books/OL3474739M/A_killing_rain,1
0743409159,https://openlibrary.org/books/OL7949376M/The_Eye_of_the_Storm_(Rain),1
0671015206,https://openlibrary.org/books/OL15307455M/The_millionaire_next_door,1
1585424331,https://openlibrary.org/books/OL23036869M/Think_and_grow_rich,1
1932429239,https://openlibrary.org/books/OL8809012M/Think_and_Grow_Rich_The_21st-Century_Edition,1
0977616657,https://openlibrary.org/books/OL17924736M/Pragmatic_version_control_using_Subversion,1
1563410907,https://openlibrary.org/books/OL683998M/Read_my_lips,1
